HGNC.symbol,MGI.symbol,HGNC.symbol,Chromosome.scaffold.name,Gene.start..bp.
ZNRF3,Znrf3,ZNRF3,11,5276324
ZNRF2,Znrf2,ZNRF2,6,54816916
ZNRF1,Znrf1,ZNRF1,8,111536097
ZNRD1,Znrd1,ZNRD1,17,36954356
ZNHIT6,Znhit6,ZNHIT6,3,145576205
ZNHIT3,Znhit3,ZNHIT3,11,84910950
ZNHIT2,Znhit2,ZNHIT2,19,6061192
ZNHIT1,Znhit1,ZNHIT1,5,136982164
ZNFX1,Znfx1,ZNFX1,2,167035793
ZMYND8,Zmynd8,ZMYND8,2,165784152
ZMYND19,Zmynd19,ZMYND19,2,24949792
ZMYND15,Zmynd15,ZMYND15,11,70459433
ZMYND12,Zmynd12,ZMYND12,4,119422814
ZMYND11,Zmynd11,ZMYND11,13,9684833
ZMYND10,Zmynd10,ZMYND10,9,107547298
ZMYM6,Zmym6,ZMYM6,4,127077383
ZMYM5,Zmym5,ZMYM5,14,56790585
ZMYM4,Zmym4,ZMYM4,4,126861939
ZMYM3,Zmym3,ZMYM3,X,101404384
ZMYM2,Zmym2,ZMYM2,14,56886653
ZMYM1,Zmym1,ZMYM1,4,127047094
ZMPSTE24,Zmpste24,ZMPSTE24,4,121059237
ZMIZ2,Zmiz2,ZMIZ2,11,6389074
ZMIZ1,Zmiz1,ZMIZ1,14,25459185
ZMAT5,Zmat5,ZMAT5,11,4704678
ZMAT4,Zmat4,ZMAT4,8,23636019
ZMAT3,Zmat3,ZMAT3,3,32334792
ZMAT2,Zmat2,ZMAT2,18,36793923
ZMAT1,Zmat1,ZMAT1,X,134971372
ZKSCAN8,Zkscan8,ZKSCAN8,13,21513222
ZKSCAN7,Zkscan7,ZKSCAN7,9,122885685
ZNF18,Zkscan6,ZNF18,11,65807175
ZKSCAN5,Zkscan5,ZKSCAN5,5,145204562
ZKSCAN4,Zkscan4,ZKSCAN4,13,21478907
ZKSCAN4,Zkscan3,ZKSCAN4,13,21387003
ZKSCAN2,Zkscan2,ZKSCAN2,7,123475384
ZNF496,Zkscan17,ZNF496,11,59485520
ZNF483,Zkscan16,ZNF483,4,58943628
ZNF394,Zkscan14,ZNF394,5,145194946
ZKSCAN1,Zkscan1,ZKSCAN1,5,138085084
ZIK1,Zik1,ZIK1,7,10487229
ZIC5,Zic5,ZIC5,14,122456795
ZIC4,Zic4,ZIC4,9,91362413
ZIC3,Zic3,ZIC3,X,58022700
ZIC2,Zic2,ZIC2,14,122475435
ZIC1,Zic1,ZIC1,9,91358058
ZHX3,Zhx3,ZHX3,2,160748708
ZHX2,Zhx2,ZHX2,15,57694665
ZHX1,Zhx1,ZHX1,15,58047003
ZGPAT,Zgpat,ZGPAT,2,181364928
ZGLP1,Zglp1,ZGLP1,9,21062393
ZG16,Zg16,ZG16,7,127050156
ZFYVE9,Zfyve9,ZFYVE9,4,108637466
ZFYVE28,Zfyve28,ZFYVE28,5,34194893
ZFYVE27,Zfyve27,ZFYVE27,19,42163951
ZFYVE26,Zfyve26,ZFYVE26,12,79232346
ZFYVE21,Zfyve21,ZFYVE21,12,111814170
ZFYVE19,Zfyve19,ZFYVE19,2,119208617
ZFYVE1,Zfyve1,ZFYVE1,12,83546558
ZNF134,Zfy2,ZNF134,Y,2106015
ZNF562,Zfy2,ZNF562,Y,2106015
ZNF610,Zfy2,ZNF610,Y,2106015
ZNF418,Zfy2,ZNF418,Y,2106015
ZNF587B,Zfy2,ZNF587B,Y,2106015
ZNF256,Zfy2,ZNF256,Y,2106015
ZNF552,Zfy2,ZNF552,Y,2106015
ZNF419,Zfy2,ZNF419,Y,2106015
ZNF584,Zfy2,ZNF584,Y,2106015
ZNF793,Zfy2,ZNF793,Y,2106015
ZNF549,Zfy2,ZNF549,Y,2106015
ZNF154,Zfy2,ZNF154,Y,2106015
ZNF304,Zfy2,ZNF304,Y,2106015
ZNF773,Zfy2,ZNF773,Y,2106015
ZNF837,Zfy2,ZNF837,Y,2106015
ZNF561,Zfy2,ZNF561,Y,2106015
ZNF792,Zfy2,ZNF792,Y,2106015
ZNF548,Zfy2,ZNF548,Y,2106015
ZNF480,Zfy2,ZNF480,Y,2106015
ZNF772,Zfy2,ZNF772,Y,2106015
ZNF586,Zfy2,ZNF586,Y,2106015
ZNF792,Zfy1,ZNF792,Y,725128
ZNF587B,Zfy1,ZNF587B,Y,725128
ZNF304,Zfy1,ZNF304,Y,725128
ZNF419,Zfy1,ZNF419,Y,725128
ZNF793,Zfy1,ZNF793,Y,725128
ZNF549,Zfy1,ZNF549,Y,725128
ZNF610,Zfy1,ZNF610,Y,725128
ZNF584,Zfy1,ZNF584,Y,725128
ZNF548,Zfy1,ZNF548,Y,725128
ZNF773,Zfy1,ZNF773,Y,725128
ZNF154,Zfy1,ZNF154,Y,725128
ZNF561,Zfy1,ZNF561,Y,725128
ZNF552,Zfy1,ZNF552,Y,725128
ZNF256,Zfy1,ZNF256,Y,725128
ZNF837,Zfy1,ZNF837,Y,725128
ZNF586,Zfy1,ZNF586,Y,725128
ZNF134,Zfy1,ZNF134,Y,725128
ZNF418,Zfy1,ZNF418,Y,725128
ZNF772,Zfy1,ZNF772,Y,725128
ZNF480,Zfy1,ZNF480,Y,725128
ZNF562,Zfy1,ZNF562,Y,725128
ZFX,Zfx,ZFX,X,94074631
ZFR2,Zfr2,ZFR2,10,81233155
ZFR,Zfr,ZFR,15,12117831
ZFPM2,Zfpm2,ZFPM2,15,40655035
ZFPM1,Zfpm1,ZFPM1,8,122282141
ZFPL1,Zfpl1,ZFPL1,19,6080762
ZNF34,Zfp995,ZNF34,17,21879570
ZNF34,Zfp994,ZNF34,17,22197265
ZNF34,Zfp993,ZNF34,4,146610961
ZNF34,Zfp992,ZNF34,4,146449023
ZNF34,Zfp991,ZNF34,4,147132038
ZNF34,Zfp990,ZNF34,4,145510759
ZNF34,Zfp989,ZNF34,4,146971976
ZNF34,Zfp988,ZNF34,4,147305674
ZNF34,Zfp987,ZNF34,4,146097298
ZNF34,Zfp986,ZNF34,4,145868794
ZNF34,Zfp985,ZNF34,4,147553277
ZNF34,Zfp984,ZNF34,4,147753974
ZNF34,Zfp981,ZNF34,4,146502027
ZNF34,Zfp980,ZNF34,4,145670685
ZNF34,Zfp979,ZNF34,4,147611937
ZNF34,Zfp978,ZNF34,4,147361303
ZNF878,Zfp964,ZNF878,8,69654479
ZNF878,Zfp963,ZNF878,8,69741639
TCF20,Zfp957,TCF20,14,79212355
ZNF419,Zfp956,ZNF419,6,47953390
ZNF480,Zfp956,ZNF480,6,47953390
ZNF552,Zfp956,ZNF552,6,47953390
ZNF584,Zfp956,ZNF584,6,47953390
ZNF586,Zfp956,ZNF586,6,47953390
ZNF561,Zfp956,ZNF561,6,47953390
ZNF562,Zfp956,ZNF562,6,47953390
ZNF587B,Zfp956,ZNF587B,6,47953390
ZNF610,Zfp956,ZNF610,6,47953390
ZNF418,Zfp956,ZNF418,6,47953390
ZNF695,Zfp953,ZNF695,13,67339306
ZNF736,Zfp953,ZNF736,13,67339306
ZNF682,Zfp953,ZNF682,13,67339306
ZNF724,Zfp953,ZNF724,13,67339306
ZNF678,Zfp953,ZNF678,13,67339306
ZNF681,Zfp953,ZNF681,13,67339306
ZNF727,Zfp953,ZNF727,13,67339306
ZNF85,Zfp953,ZNF85,13,67339306
ZNF34,Zfp947,ZNF34,17,22144359
ZNF34,Zfp946,ZNF34,17,22424222
ZNF34,Zfp945,ZNF34,17,22846697
ZNF34,Zfp944,ZNF34,17,22337989
ZNF34,Zfp943,ZNF34,17,21962552
ZNF34,Zfp942,ZNF34,17,21926960
ZNF45,Zfp94,ZNF45,7,24301704
ZNF233,Zfp93,ZNF233,7,24270420
ZFP92,Zfp92,ZFP92,X,73411096
ZFP91-CNTF,Zfp91,ZFP91-CNTF,19,12763660
ZFP91,Zfp91,ZFP91,19,12763660
ZFP90,Zfp90,ZFP90,8,106415327
ZNF25,Zfp9,ZNF25,6,118461950
ZNF879,Zfp879,ZNF879,11,50832031
ZNF429,Zfp874b,ZNF429,13,67471513
ZNF429,Zfp874a,ZNF429,13,67424549
ZNF627,Zfp872,ZNF627,9,22188090
ZNF429,Zfp87,ZNF429,13,67515781
ZNF878,Zfp869,ZNF878,8,69706332
ZNF878,Zfp868,ZNF878,8,69610857
ZNF878,Zfp866,ZNF878,8,69761326
ZNF865,Zfp865,ZNF865,7,5020376
ZNF853,Zfp853,ZNF853,5,143287038
ZNF780A,Zfp850,ZNF780A,7,27984854
ZNF429,Zfp85,ZNF429,13,67747800
ZNF781,Zfp84,ZNF781,7,29768552
ZNF839,Zfp839,ZNF839,12,110850253
ZNF831,Zfp831,ZNF831,2,174643534
ZNF830,Zfp830,ZNF830,11,82764345
ZNF827,Zfp827,ZNF827,8,79028437
ZNF821,Zfp821,ZNF821,8,109705546
ZNF34,Zfp820,ZNF34,17,21816885
ZFP82,Zfp82,ZFP82,7,30054489
ZNF510,Zfp819,ZNF510,7,43607169
ZNF804B,Zfp804b,ZNF804B,5,6769010
ZNF804A,Zfp804a,ZNF804A,2,82053222
ZNF800,Zfp800,ZNF800,6,28239927
ZNF791,Zfp791,ZNF791,8,85108553
ZNF787,Zfp787,ZNF787,7,6131491
ZNF786,Zfp786,ZNF786,6,47819266
ZNF784,Zfp784,ZNF784,7,5034439
ZNF420,Zfp780b,ZNF420,7,27959135
ZNF556,Zfp78,ZNF556,7,6363280
ZNF705G,Zfp78,ZNF705G,7,6363280
KRBOX4,Zfp78,KRBOX4,7,6363280
ZNF124,Zfp78,ZNF124,7,6363280
PRDM9,Zfp78,PRDM9,7,6363280
ZNF560,Zfp78,ZNF560,7,6363280
ZNF20,Zfp78,ZNF20,7,6363280
ZNF705A,Zfp78,ZNF705A,7,6363280
ZNF337,Zfp78,ZNF337,7,6363280
ZNF669,Zfp78,ZNF669,7,6363280
ZNF763,Zfp78,ZNF763,7,6363280
ZNF891,Zfp78,ZNF891,7,6363280
ZNF440,Zfp78,ZNF440,7,6363280
ZNF555,Zfp78,ZNF555,7,6363280
ZNF705B,Zfp78,ZNF705B,7,6363280
ZNF491,Zfp78,ZNF491,7,6363280
ZNF749,Zfp78,ZNF749,7,6363280
ZNF554,Zfp78,ZNF554,7,6363280
ZNF674,Zfp78,ZNF674,7,6363280
ZNF705D,Zfp78,ZNF705D,7,6363280
ZNF69,Zfp78,ZNF69,7,6363280
ZNF439,Zfp78,ZNF439,7,6363280
ZNF777,Zfp777,ZNF777,6,48024188
ZNF771,Zfp771,ZNF771,7,127244274
ZNF770,Zfp770,ZNF770,2,114193461
ZNF768,Zfp768,ZNF768,7,127342795
ZNF747,Zfp764,ZNF747,7,127403668
ZNF764,Zfp764,ZNF764,7,127403668
ZNF487,Zfp763,ZNF487,17,33016863
ZNF778,Zfp763,ZNF778,17,33016863
ZNF34,Zfp760,ZNF34,17,21707741
ZNF845,Zfp759,ZNF845,13,67121660
ZNF750,Zfp750,ZNF750,11,121510978
ZNF845,Zfp748,ZNF845,13,67538641
ZNF746,Zfp746,ZNF746,6,48062395
ZNF740,Zfp740,ZNF740,15,102203249
ZNF569,Zfp74,ZNF569,7,29930815
ZNF695,Zfp738,ZNF695,13,67658685
ZNF736,Zfp738,ZNF736,13,67658685
ZNF682,Zfp738,ZNF682,13,67658685
ZNF724,Zfp738,ZNF724,13,67658685
ZNF678,Zfp738,ZNF678,13,67658685
ZNF681,Zfp738,ZNF681,13,67658685
ZNF727,Zfp738,ZNF727,13,67658685
ZNF85,Zfp738,ZNF85,13,67658685
ZNF845,Zfp729b,ZNF845,13,67589439
ZNF845,Zfp729a,ZNF845,13,67612763
ZNF429,Zfp72,ZNF429,13,74369326
ZNF775,Zfp719,ZNF775,7,43579610
ZNF845,Zfp712,ZNF845,13,67038596
ZNF711,Zfp711,ZNF711,X,112600526
ZNF429,Zfp708,ZNF429,13,67069399
ZNF706,Zfp706,ZNF706,15,36997027
ZNF704,Zfp704,ZNF704,3,9427020
ZNF703,Zfp703,ZNF703,8,26977325
ZNF7,Zfp7,ZNF7,15,76879259
ZNF697,Zfp697,ZNF697,3,98382461
ZNF692,Zfp692,ZNF692,11,58307069
ZNF691,Zfp691,ZNF691,4,119169513
ZFP69,Zfp69,ZFP69,4,120930137
ZNF689,Zfp689,ZNF689,7,127442136
ZNF688,Zfp688,ZNF688,7,127418967
ZNF687,Zfp687,ZNF687,3,95006590
ZNF672,Zfp672,ZNF672,11,58315114
ZNF668,Zfp668,ZNF668,7,127863047
ZNF667,Zfp667,ZNF667,7,6286579
ZNF664,Zfp664,ZNF664,5,124862691
ZNF2,Zfp661,ZNF2,2,127574662
ZNF655,Zfp655,ZNF655,5,145231715
ZNF654,Zfp654,ZNF654,16,64780347
ZNF652,Zfp652,ZNF652,11,95712673
ZBTB47,Zfp651,ZBTB47,9,121759330
KRBOX1,Zfp65,KRBOX1,13,67705309
ZNF648,Zfp648,ZNF648,1,154201187
ZNF250,Zfp647,ZNF250,15,76910371
ZNF646,Zfp646,ZNF646,7,127876221
ZNF644,Zfp644,ZNF644,5,106616739
ZNF641,Zfp641,ZNF641,15,98285585
ZFP64,Zfp64,ZFP64,2,168893331
ZNF639,Zfp639,ZNF639,3,32510259
ZNF638,Zfp638,ZNF638,6,83867109
ZNF32,Zfp637,ZNF32,6,117841180
ZNF629,Zfp629,ZNF629,7,127607031
ZNF628,Zfp628,ZNF628,7,4915217
ZNF780A,Zfp626,ZNF780A,7,27807196
ZNF623,Zfp623,ZNF623,15,75940952
ZNF622,Zfp622,ZNF622,15,25984366
ZFP62,Zfp62,ZFP62,11,49203292
ZNF850,Zfp619,ZNF850,7,39517766
ZNF618,Zfp618,ZNF618,4,62965573
ZNF23,Zfp612,ZNF23,8,110079746
ZNF226,Zfp61,ZNF226,7,24291039
ZNF609,Zfp609,ZNF609,9,65692391
ZNF608,Zfp608,ZNF608,18,54888045
ZNF780A,Zfp607b,ZNF780A,7,27689340
ZNF780A,Zfp607a,ZNF780A,7,27857527
ZNF606,Zfp606,ZNF606,7,12478293
ZNF605,Zfp605,ZNF605,5,110110092
ZNF780A,Zfp60,ZNF780A,7,27731389
ZNF598,Zfp598,ZNF598,17,24669687
ZNF597,Zfp597,ZNF597,16,3858321
ZNF695,Zfp595,ZNF695,13,67312998
ZNF736,Zfp595,ZNF736,13,67312998
ZNF682,Zfp595,ZNF682,13,67312998
ZNF724,Zfp595,ZNF724,13,67312998
ZNF678,Zfp595,ZNF678,13,67312998
ZNF681,Zfp595,ZNF681,13,67312998
ZNF727,Zfp595,ZNF727,13,67312998
ZNF85,Zfp595,ZNF85,13,67312998
ZNF593,Zfp593,ZNF593,4,134243289
ZNF592,Zfp592,ZNF592,7,80993681
ZNF780A,Zfp59,ZNF780A,7,27838607
ZNF583,Zfp583,ZNF583,7,6315660
ZNF580,Zfp580,ZNF580,7,5051538
ZNF429,Zfp58,ZNF429,13,67490167
ZNF579,Zfp579,ZNF579,7,4983483
ZNF575,Zfp575,ZNF575,7,24583838
ZNF574,Zfp574,ZNF574,7,25072567
ZFP57,Zfp57,ZFP57,17,37001163
ZNF566,Zfp566,ZNF566,7,30077337
ZNF121,Zfp560,ZNF121,9,20345136
ZNF558,Zfp558,ZNF558,9,18455575
ZNF557,Zfp558,ZNF557,9,18455575
ZNF48,Zfp553,ZNF48,7,127233061
ZNF551,Zfp551,ZNF551,7,12415153
ZNF541,Zfp541,ZNF541,7,16061814
ZNF195,Zfp54,ZNF195,17,21423227
ZNF519,Zfp54,ZNF519,17,21423227
ZNF536,Zfp536,ZNF536,7,37472135
ZNF34,Zfp534,ZNF34,4,147673502
ZNF532,Zfp532,ZNF532,18,65580230
ZNF526,Zfp526,ZNF526,7,25221425
ZNF524,Zfp524,ZNF524,7,5014415
ZNF76,Zfp523,ZNF76,17,28177129
ZNF521,Zfp521,ZNF521,18,13687013
ZNF518B,Zfp518b,ZNF518B,5,38668484
ZNF518A,Zfp518a,ZNF518A,19,40894705
ZNF516,Zfp516,ZNF516,18,82910879
ZNF513,Zfp513,ZNF513,5,31198981
ZNF512B,Zfp512b,ZNF512B,2,181582103
ZNF512,Zfp512,ZNF512,5,31452431
ZNF511,Zfp511,ZNF511,7,140036391
ZNF507,Zfp507,ZNF507,7,35772343
ZNF503,Zfp503,ZNF503,14,21983959
ZNF429,Zfp493,ZNF429,13,67779693
ZNF488,Zfp488,ZNF488,14,33967070
ZNF474,Zfp474,ZNF474,18,52615915
ZNF473,Zfp473,ZNF473,7,44731480
ZNF467,Zfp467,ZNF467,6,48427697
ZNF462,Zfp462,ZNF462,4,54945048
ZNF436,Zfp46,ZNF436,4,136284683
ZNF845,Zfp459,ZNF845,13,67405709
ZNF845,Zfp458,ZNF845,13,67254918
ZNF695,Zfp457,ZNF695,13,67288138
ZNF736,Zfp457,ZNF736,13,67288138
ZNF682,Zfp457,ZNF682,13,67288138
ZNF724,Zfp457,ZNF724,13,67288138
ZNF678,Zfp457,ZNF678,13,67288138
ZNF681,Zfp457,ZNF681,13,67288138
ZNF727,Zfp457,ZNF727,13,67288138
ZNF85,Zfp457,ZNF85,13,67288138
ZNF429,Zfp456,ZNF429,13,67362113
ZNF429,Zfp455,ZNF429,13,67194506
ZNF454,Zfp454,ZNF454,11,50872720
ZNF451,Zfp451,ZNF451,1,33761545
ZNF449,Zfp449,ZNF449,X,56346400
ZNF446,Zfp446,ZNF446,7,12977848
ZNF445,Zfp445,ZNF445,9,122844529
ZNF444,Zfp444,ZNF444,7,6172226
ZNF438,Zfp438,ZNF438,18,5210029
ZNF429,Zfp429,ZNF429,13,67387905
ZNF428,Zfp428,ZNF428,7,24507006
ZNF426,Zfp426,ZNF426,9,20468549
ZNF423,Zfp423,ZNF423,8,87661810
ZNF22,Zfp422,ZNF22,6,116624016
ZFP42,Zfp42,ZFP42,8,43295063
ZNF414,Zfp414,ZNF414,17,33629090
ZNF410,Zfp410,ZNF410,12,84316852
ZFP41,Zfp41,ZFP41,15,75616679
ZNF408,Zfp408,ZNF408,2,91643669
ZNF407,Zfp407,ZNF407,18,84128027
ZNF398,Zfp398,ZNF398,6,47835661
ZNF397,Zfp397,ZNF397,18,23954692
ZNF395,Zfp395,ZNF395,14,65358389
ZNF570,Zfp39,ZNF570,11,58888153
ZNF775,Zfp386,ZNF775,12,116047724
ZNF385C,Zfp385c,ZNF385C,11,100627543
ZNF385B,Zfp385b,ZNF385B,2,77410634
ZNF385A,Zfp385a,ZNF385A,15,103313895
ZNF384,Zfp384,ZNF384,6,125009145
ZNF383,Zfp383,ZNF383,7,29908223
ZNF382,Zfp382,ZNF382,7,30121942
ZFP37,Zfp37,ZFP37,4,62189540
ZFP36L2,Zfp36l2,ZFP36L2,17,84183931
ZFP36L1,Zfp36l1,ZFP36L1,12,80107754
ZNF274,Zfp369,ZNF274,13,65278814
ZNF367,Zfp367,ZNF367,13,64133018
ZNF366,Zfp366,ZNF366,13,99184823
ZNF365,Zfp365,ZNF365,10,67886103
ZNF362,Zfp362,ZNF362,4,128773088
ZFP36,Zfp36,ZFP36,7,28376784
ZNF358,Zfp358,ZNF358,8,3493138
ZNF354C,Zfp354c,ZNF354C,11,50811086
ZNF354B,Zfp354b,ZNF354B,11,50921823
KLF18,Zfp352,KLF18,4,90218820
ZNF346,Zfp346,ZNF346,13,55105311
ZNF341,Zfp341,ZNF341,2,154613297
ZNF335,Zfp335,ZNF335,2,164891882
ZNF334,Zfp334,ZNF334,2,165374264
ZNF330,Zfp330,ZNF330,8,82763607
ZNF329,Zfp329,ZNF329,7,12804977
ZNF326,Zfp326,ZNF326,5,105876565
ZNF324B,Zfp324,ZNF324B,7,12965838
ZNF324,Zfp324,ZNF324,7,12965838
ZNF322,Zfp322a,ZNF322,13,23353103
ZNF319,Zfp319,ZNF319,8,95323011
ZNF318,Zfp318,ZNF318,17,46383731
ZNF317,Zfp317,ZNF317,9,19622102
ZNF316,Zfp316,ZNF316,5,143249697
ZFP30,Zfp30,ZFP30,7,29783998
ZFP3,Zfp3,ZFP3,11,70764209
ZNF296,Zfp296,ZNF296,7,19577287
ZNF292,Zfp292,ZNF292,4,34803113
ZNF287,Zfp287,ZNF287,11,62700356
ZNF286B,Zfp286,ZNF286B,11,62752577
ZNF286A,Zfp286,ZNF286A,11,62752577
ZNF282,Zfp282,ZNF282,6,47877204
ZNF281,Zfp281,ZNF281,1,136624901
ZNF280D,Zfp280d,ZNF280D,9,72274860
ZNF280C,Zfp280c,ZNF280C,X,48541625
ZNF280B,Zfp280b,ZNF280B,10,76032650
ZFP28,Zfp28,ZFP28,7,6383295
ZNF277,Zfp277,ZNF277,12,40315046
ZNF276,Zfp276,ZNF276,8,123254195
ZNF429,Zfp273,ZNF429,13,67813740
ZNF266,Zfp266,ZNF266,9,20495068
ZNF263,Zfp263,ZNF263,16,3744093
ZNF260,Zfp260,ZNF260,7,30094777
ZNF251,Zfp251,ZNF251,15,76851609
ZNF248,Zfp248,ZNF248,6,118427319
ZNF24,Zfp24,ZNF24,18,24009702
ZNF239,Zfp239,ZNF239,6,117862100
ZNF236,Zfp236,ZNF236,18,82593593
ZNF233,Zfp235,ZNF233,7,24134169
ZNF219,Zfp219,ZNF219,14,52006077
ZNF217,Zfp217,ZNF217,2,170108643
ZNF213,Zfp213,ZNF213,17,23556767
ZNF212,Zfp212,ZNF212,6,47920476
ZNF207,Zfp207,ZNF207,11,80383279
ZNF202,Zfp202,ZNF202,9,40192316
ZFP2,Zfp2,ZFP2,11,50898712
ZNF189,Zfp189,ZNF189,4,49521176
ZNF185,Zfp185,ZNF185,X,72987339
ZNF182,Zfp182,ZNF182,X,21028939
ZNF180,Zfp180,ZNF180,7,24081924
ZNF174,Zfp174,ZNF174,16,3847268
ZNF169,Zfp169,ZNF169,13,48487647
ZNF665,Zfp160,ZNF665,17,21008903
ZNF160,Zfp160,ZNF160,17,21008903
ZNF148,Zfp148,ZNF148,16,33380836
ZNF146,Zfp146,ZNF146,7,30161269
ZNF143,Zfp143,ZNF143,7,110061217
ZNF142,Zfp142,ZNF142,1,74565127
ZNF775,Zfp141,ZNF775,7,42473386
ZFP14,Zfp14,ZFP14,7,30036359
ZNF205,Zfp13,ZNF205,17,23575844
ZNF8,Zfp128,ZNF8,7,12881177
ZNF12,Zfp12,ZNF12,5,143235163
ZNF233,Zfp114,ZNF233,7,24175060
ZNF112,Zfp111,ZNF112,7,24193947
ZNF274,Zfp110,ZNF274,7,12834761
ZNF345,Zfp11,ZNF345,5,129654593
ZNF233,Zfp109,ZNF233,7,24227572
ZNF233,Zfp108,ZNF233,7,24254794
ZNF106,Zfp106,ZNF106,2,120506820
ZNF35,Zfp105,ZNF35,9,122923072
ZFP1,Zfp1,ZFP1,8,111643401
ZFHX4,Zfhx4,ZFHX4,3,5218526
ZFHX3,Zfhx3,ZFHX3,8,107942644
ZFHX2,Zfhx2,ZFHX2,14,55060262
ZFC3H1,Zfc3h1,ZFC3H1,10,115384959
ZFAT,Zfat,ZFAT,15,68083764
ZFAND6,Zfand6,ZFAND6,7,84613766
ZFAND5,Zfand5,ZFAND5,19,21272278
ZFAND4,Zfand4,ZFAND4,6,116264222
ZFAND3,Zfand3,ZFAND3,17,30004733
ZFAND2B,Zfand2b,ZFAND2B,1,75168646
ZFAND2A,Zfand2a,ZFAND2A,5,139471211
ZFAND1,Zfand1,ZFAND1,3,10339953
ZER1,Zer1,ZER1,2,30097283
ZEB2-AS1,Zeb2os,ZEB2-AS1,2,45110707
ZEB2,Zeb2,ZEB2,2,44983632
ZEB1,Zeb1,ZEB1,18,5591860
ZDHHC9,Zdhhc9,ZDHHC9,X,48171969
ZDHHC8,Zdhhc8,ZDHHC8,16,18220753
ZDHHC7,Zdhhc7,ZDHHC7,8,120080890
ZDHHC6,Zdhhc6,ZDHHC6,19,55271291
ZDHHC5,Zdhhc5,ZDHHC5,2,84687970
ZDHHC4,Zdhhc4,ZDHHC4,5,143316489
ZDHHC3,Zdhhc3,ZDHHC3,9,123066160
ZDHHC24,Zdhhc24,ZDHHC24,19,4878668
ZDHHC23,Zdhhc23,ZDHHC23,16,43965033
ZDHHC22,Zdhhc22,ZDHHC22,12,86980763
ZDHHC21,Zdhhc21,ZDHHC21,4,82798738
ZDHHC20,Zdhhc20,ZDHHC20,14,57832703
ZDHHC2,Zdhhc2,ZDHHC2,8,40423815
ZDHHC19,Zdhhc19,ZDHHC19,16,32496265
ZDHHC18,Zdhhc18,ZDHHC18,4,133605299
ZDHHC17,Zdhhc17,ZDHHC17,10,110941780
ZDHHC16,Zdhhc16,ZDHHC16,19,41933480
ZDHHC15,Zdhhc15,ZDHHC15,X,104536969
ZDHHC14,Zdhhc14,ZDHHC14,17,5492557
ZDHHC13,Zdhhc13,ZDHHC13,7,48789003
ZDHHC12,Zdhhc12,ZDHHC12,2,30090944
ZDHHC11,Zdhhc11,ZDHHC11,13,73963851
ZDHHC11B,Zdhhc11,ZDHHC11B,13,73963851
ZDHHC1,Zdhhc1,ZDHHC1,8,105472423
ZDBF2,Zdbf2,ZDBF2,1,63273265
ZCWPW1,Zcwpw1,ZCWPW1,5,137787798
ZCRB1,Zcrb1,ZCRB1,15,93386097
ZCCHC9,Zcchc9,ZCCHC9,13,91796533
ZCCHC8,Zcchc8,ZCCHC8,5,123698294
ZCCHC7,Zcchc7,ZCCHC7,4,44755877
ZCCHC4,Zcchc4,ZCCHC4,5,52775409
ZCCHC3,Zcchc3,ZCCHC3,2,152411955
ZCCHC24,Zcchc24,ZCCHC24,14,25711642
