Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
LIPE,"Lipase E, Hormone Sensitive Type",Protein Coding,54,GC19M042401,8.51,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPE
C4A,Complement C4A (Rodgers Blood Group),Protein Coding,48,GC06P032265,8.42,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4A
STARP1,Steroidogenic Acute Regulatory Protein Pseudogene 1,Pseudogene,9,GC13M065280,8.09,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STARP1
CGA,"Glycoprotein Hormones, Alpha Polypeptide",Protein Coding,49,GC06M087085,7.84,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGA
LOC108964933,CYP11A1 Promoter Region,Uncategorized,3,GC15U902408,7.71,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108964933
FDXR,Ferredoxin Reductase,Protein Coding,50,GC17M074862,7.42,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDXR
JUN,"Jun Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,56,GC01M058780,7.41,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN
SOX9,SRY-Box 9,Protein Coding,53,GC17P072121,6.75,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX9
CYP21A1P,"Cytochrome P450 Family 21 Subfamily A Member 1, Pseudogene",Pseudogene,19,GC06P032005,6.57,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP21A1P
FDX1,Ferredoxin 1,Protein Coding,47,GC11P110429,6.25,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDX1
GATA4,GATA Binding Protein 4,Protein Coding,55,GC08P011676,5.99,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA4
CGB5,Chorionic Gonadotropin Subunit Beta 5,Protein Coding,36,GC19P049043,5.68,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGB5
LOC110408762,CYP17A1 Promoter,Uncategorized,3,GC10U902739,5.68,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110408762
REN,Renin,Protein Coding,55,GC01M204123,5.49,https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN
WT1,Wilms Tumor 1,Protein Coding,55,GC11M032365,5.48,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WT1
DGKQ,Diacylglycerol Kinase Theta,Protein Coding,46,GC04M000942,5.35,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGKQ
TRERF1,Transcriptional Regulating Factor 1,Protein Coding,44,GC06M042192,5.35,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRERF1
BTD,Biotinidase,Protein Coding,50,GC03P015621,5.16,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTD
HIPK3,Homeodomain Interacting Protein Kinase 3,Protein Coding,47,GC11P033278,5.07,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIPK3
STARD5,StAR Related Lipid Transfer Domain Containing 5,Protein Coding,43,GC15M081309,5,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STARD5
AR,Androgen Receptor,Protein Coding,60,GC0XP067544,4.97,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR
PROK1,Prokineticin 1,Protein Coding,42,GC01P110451,4.91,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROK1
ESR1,Estrogen Receptor 1,Protein Coding,61,GC06P151656,4.87,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1
IGF1,Insulin Like Growth Factor 1,Protein Coding,55,GC12M102395,4.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1
NR4A1,Nuclear Receptor Subfamily 4 Group A Member 1,Protein Coding,53,GC12P052022,4.62,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR4A1
PGR,Progesterone Receptor,Protein Coding,58,GC11M100943,4.45,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGR
TSPO,Translocator Protein,Protein Coding,48,GC22P043151,4.45,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPO
LOC108491836,NR5A1 5' Promoter Region,Uncategorized,3,GC09U902977,4.42,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108491836
INS,Insulin,Protein Coding,54,GC11M002159,4.42,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS
LOC109029530,HSD3B2 5' Regulatory Region,Uncategorized,3,GC01U905754,4.4,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109029530
SCP2,Sterol Carrier Protein 2,Protein Coding,53,GC01P052927,4.39,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCP2
EP300,E1A Binding Protein P300,Protein Coding,57,GC22P041091,4.37,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300
GATA6,GATA Binding Protein 6,Protein Coding,53,GC18P022169,4.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA6
LONP1,"Lon Peptidase 1, Mitochondrial",Protein Coding,49,GC19M005691,4.28,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LONP1
STARD4,StAR Related Lipid Transfer Domain Containing 4,Protein Coding,42,GC05M111496,4.26,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STARD4
CREBBP,CREB Binding Protein,Protein Coding,59,GC16M003726,4.25,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP
NCOA1,Nuclear Receptor Coactivator 1,Protein Coding,50,GC02P024545,4.12,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOA1
CREB1,CAMP Responsive Element Binding Protein 1,Protein Coding,55,GC02P207529,4.11,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREB1
CYB5A,Cytochrome B5 Type A,Protein Coding,50,GC18M074250,4.08,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5A
SULT2A1,Sulfotransferase Family 2A Member 1,Protein Coding,52,GC19M047870,3.89,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT2A1
GNRHR,Gonadotropin Releasing Hormone Receptor,Protein Coding,53,GC04M067737,3.87,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNRHR
LOC110386951,CYP19A1 Promoter II/1.3,Uncategorized,3,GC15U902412,3.86,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110386951
SCARB1,Scavenger Receptor Class B Member 1,Protein Coding,52,GC12M124776,3.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARB1
CRTC2,CREB Regulated Transcription Coactivator 2,Protein Coding,49,GC01M153920,3.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRTC2
TFCP2L1,Transcription Factor CP2 Like 1,Protein Coding,41,GC02M121216,3.6,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFCP2L1
FOXL2,Forkhead Box L2,Protein Coding,47,GC03M138944,3.55,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXL2
STARD6,StAR Related Lipid Transfer Domain Containing 6,Protein Coding,41,GC18M054324,3.55,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STARD6
AKR1C3,Aldo-Keto Reductase Family 1 Member C3,Protein Coding,54,GC10P005035,3.53,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1C3
IGF2,Insulin Like Growth Factor 2,Protein Coding,54,GC11M002130,3.48,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2
LOC110673972,CYP11B1 Promoter,Uncategorized,3,GC08U902743,3.47,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110673972
CRTC1,CREB Regulated Transcription Coactivator 1,Protein Coding,49,GC19P020363,3.45,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRTC1
CRTC3,CREB Regulated Transcription Coactivator 3,Protein Coding,46,GC15P090529,3.45,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRTC3
NR2F2,Nuclear Receptor Subfamily 2 Group F Member 2,Protein Coding,55,GC15P096325,3.44,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR2F2
ESRRG,Estrogen Related Receptor Gamma,Protein Coding,50,GC01M216503,3.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESRRG
GRHL1,Grainyhead Like Transcription Factor 1,Protein Coding,42,GC02P009942,3.36,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRHL1
CTNNB1,Catenin Beta 1,Protein Coding,60,GC03P041236,3.36,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1
SP1,Sp1 Transcription Factor,Protein Coding,50,GC12P053380,3.34,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1
LOC108783649,AMH 5' Regulatory Region,Uncategorized,3,GC19U902327,3.34,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108783649
HSD17B13,Hydroxysteroid 17-Beta Dehydrogenase 13,Protein Coding,42,GC04M087303,3.3,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B13
AMH,Anti-Mullerian Hormone,Protein Coding,50,GC19P002251,3.23,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMH
ARMC5,Armadillo Repeat Containing 5,Protein Coding,43,GC16P031473,3.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARMC5
SRD5A1,Steroid 5 Alpha-Reductase 1,Protein Coding,50,GC05P006633,3.13,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRD5A1
LOC110673971,CYP11B2 Promoter,Uncategorized,3,GC08U902746,3.12,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110673971
UBE2I,Ubiquitin Conjugating Enzyme E2 I,Protein Coding,55,GC16P001310,3.03,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2I
PIAS1,Protein Inhibitor Of Activated STAT 1,Protein Coding,50,GC15P068054,3.03,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIAS1
GNRH1,Gonadotropin Releasing Hormone 1,Protein Coding,48,GC08M025419,3.03,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNRH1
HSD17B1,Hydroxysteroid 17-Beta Dehydrogenase 1,Protein Coding,50,GC17P042548,3.01,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B1
LOC108410393,NR0B1 5' Regulatory Region,Uncategorized,3,GC0XU902332,2.99,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108410393
LHCGR,Luteinizing Hormone/Choriogonadotropin Receptor,Protein Coding,54,GC02M048647,2.96,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LHCGR
INHA,Inhibin Subunit Alpha,Protein Coding,50,GC02P219569,2.9,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHA
HSD17B11,Hydroxysteroid 17-Beta Dehydrogenase 11,Protein Coding,47,GC04M087336,2.9,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B11
POU1F1,POU Class 1 Homeobox 1,Protein Coding,49,GC03M087259,2.85,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU1F1
NR3C1,Nuclear Receptor Subfamily 3 Group C Member 1,Protein Coding,57,GC05M143241,2.83,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1
PRKACA,Protein Kinase CAMP-Activated Catalytic Subunit Alpha,Protein Coding,58,GC19M014092,2.78,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKACA
PITX1,Paired Like Homeodomain 1,Protein Coding,51,GC05M135027,2.75,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PITX1
ESR2,Estrogen Receptor 2,Protein Coding,55,GC14M064084,2.74,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR2
SRA1,Steroid Receptor RNA Activator 1,Protein Coding,45,GC05M140537,2.71,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRA1
SRD5A2,Steroid 5 Alpha-Reductase 2,Protein Coding,47,GC02M031485,2.69,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRD5A2
WNT4,Wnt Family Member 4,Protein Coding,53,GC01M022190,2.67,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT4
FOS,"Fos Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,57,GC14P075278,2.62,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS
USF1,Upstream Transcription Factor 1,Protein Coding,50,GC01M161009,2.6,https://www.genecards.org/cgi-bin/carddisp.pl?gene=USF1
LOC110631417,CYP21A2 5' Regulatory Region,Uncategorized,3,GC06U903648,2.55,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110631417
GH1,Growth Hormone 1,Protein Coding,51,GC17M063917,2.53,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GH1
STARD8,StAR Related Lipid Transfer Domain Containing 8,Protein Coding,41,GC0XP068647,2.51,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STARD8
USF2,"Upstream Transcription Factor 2, C-Fos Interacting",Protein Coding,46,GC19P035268,2.5,https://www.genecards.org/cgi-bin/carddisp.pl?gene=USF2
PPARG,Peroxisome Proliferator Activated Receptor Gamma,Protein Coding,60,GC03P012328,2.44,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG
ASAH1,N-Acylsphingosine Amidohydrolase 1,Protein Coding,53,GC08M017958,2.43,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASAH1
PLIN1,Perilipin 1,Protein Coding,52,GC15M089664,2.42,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLIN1
RNY1,"RNA, Ro-Associated Y1",RNA Gene,18,GC07M148987,2.41,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNY1
ESRRA,Estrogen Related Receptor Alpha,Protein Coding,53,GC11P064305,2.4,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESRRA
CEBPB,CCAAT Enhancer Binding Protein Beta,Protein Coding,50,GC20P050190,2.4,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEBPB
STS,Steroid Sulfatase,Protein Coding,52,GC0XP007147,2.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STS
CYP1B1,Cytochrome P450 Family 1 Subfamily B Member 1,Protein Coding,55,GC02M038034,2.36,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1B1
MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,58,GC22M021754,2.36,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1
AGT,Angiotensinogen,Protein Coding,55,GC01M230702,2.34,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT
HSD11B2,Hydroxysteroid 11-Beta Dehydrogenase 2,Protein Coding,53,GC16P067465,2.34,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD11B2
ZFPM2,"Zinc Finger Protein, FOG Family Member 2",Protein Coding,48,GC08P104590,2.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFPM2
EGR1,Early Growth Response 1,Protein Coding,50,GC05P138465,2.31,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGR1
MAPK3,Mitogen-Activated Protein Kinase 3,Protein Coding,56,GC16M030125,2.31,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3
SREBF1,Sterol Regulatory Element Binding Transcription Factor 1,Protein Coding,50,GC17M017810,2.31,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SREBF1
ACSL4,Acyl-CoA Synthetase Long Chain Family Member 4,Protein Coding,50,GC0XM109624,2.28,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSL4
HSD17B2,Hydroxysteroid 17-Beta Dehydrogenase 2,Protein Coding,50,GC16P082068,2.28,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B2
LOC110386947,CYP19A1 Promoter I.1,Uncategorized,3,GC15U902414,2.28,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110386947
PBX1,PBX Homeobox 1,Protein Coding,57,GC01P164524,2.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PBX1
NR4A2,Nuclear Receptor Subfamily 4 Group A Member 2,Protein Coding,52,GC02M156324,2.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR4A2
PELP1,"Proline, Glutamate And Leucine Rich Protein 1",Protein Coding,46,GC17M004669,2.26,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PELP1
LHX3,LIM Homeobox 3,Protein Coding,49,GC09M136196,2.25,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LHX3
FSHB,Follicle Stimulating Hormone Subunit Beta,Protein Coding,50,GC11P030210,2.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSHB
NRIP1,Nuclear Receptor Interacting Protein 1,Protein Coding,49,GC21M014961,2.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRIP1
NFIC,Nuclear Factor I C,Protein Coding,46,GC19P003359,2.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFIC
LIPA,"Lipase A, Lysosomal Acid Type",Protein Coding,53,GC10M089213,2.23,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPA
NCOA2,Nuclear Receptor Coactivator 2,Protein Coding,51,GC08M070125,2.2,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOA2
TRIM22,Tripartite Motif Containing 22,Protein Coding,46,GC11P005667,2.2,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM22
SUMO1,Small Ubiquitin-Like Modifier 1,Protein Coding,53,GC02M202206,2.12,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUMO1
GSTA3,Glutathione S-Transferase Alpha 3,Protein Coding,50,GC06M052896,2.12,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTA3
CRH,Corticotropin Releasing Hormone,Protein Coding,49,GC08M066208,2.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRH
PNRC1,Proline Rich Nuclear Receptor Coactivator 1,Protein Coding,42,GC06P089080,2.08,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNRC1
KAT2A,Lysine Acetyltransferase 2A,Protein Coding,53,GC17M042113,2.07,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAT2A
HSD11B1,Hydroxysteroid 11-Beta Dehydrogenase 1,Protein Coding,57,GC01P209686,2.04,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD11B1
NONO,Non-POU Domain Containing Octamer Binding,Protein Coding,51,GC0XP071283,2.02,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONO
PRDM2,PR/SET Domain 2,Protein Coding,47,GC01P013776,2.02,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDM2
BMP6,Bone Morphogenetic Protein 6,Protein Coding,50,GC06P007726,2,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP6
NR1H3,Nuclear Receptor Subfamily 1 Group H Member 3,Protein Coding,53,GC11P047269,1.98,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H3
SP3,Sp3 Transcription Factor,Protein Coding,48,GC02M173906,1.98,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP3
VIM,Vimentin,Protein Coding,57,GC10P017227,1.97,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIM
INHBA,Inhibin Subunit Beta A,Protein Coding,50,GC07M041668,1.97,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBA
AHR,Aryl Hydrocarbon Receptor,Protein Coding,54,GC07P016916,1.94,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHR
CDK7,Cyclin Dependent Kinase 7,Protein Coding,52,GC05P069242,1.94,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK7
CREM,CAMP Responsive Element Modulator,Protein Coding,48,GC10P035126,1.94,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREM
UBP1,Upstream Binding Protein 1,Protein Coding,41,GC03M033404,1.94,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBP1
PRL,Prolactin,Protein Coding,49,GC06M022230,1.94,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRL
HMGA1,High Mobility Group AT-Hook 1,Protein Coding,52,GC06P042493,1.9,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGA1
RIPK1,Receptor Interacting Serine/Threonine Kinase 1,Protein Coding,54,GC06P003064,1.89,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK1
CAT,Catalase,Protein Coding,57,GC11P034460,1.88,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT
PTGS2,Prostaglandin-Endoperoxide Synthase 2,Protein Coding,56,GC01M186640,1.88,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2
OXT,Oxytocin/Neurophysin I Prepropeptide,Protein Coding,47,GC20P003064,1.87,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXT
MAPK8,Mitogen-Activated Protein Kinase 8,Protein Coding,56,GC10P048306,1.83,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8
HDAC9,Histone Deacetylase 9,Protein Coding,53,GC07P018179,1.83,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC9
ALAS1,5'-Aminolevulinate Synthase 1,Protein Coding,50,GC03P052198,1.83,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALAS1
RARA,Retinoic Acid Receptor Alpha,Protein Coding,57,GC17P040309,1.83,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARA
PAX8,Paired Box 8,Protein Coding,53,GC02M113215,1.83,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX8
SDHC,Succinate Dehydrogenase Complex Subunit C,Protein Coding,51,GC01P161285,1.83,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHC
PNRC2,Proline Rich Nuclear Receptor Coactivator 2,Protein Coding,40,GC01P023959,1.83,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNRC2
FATE1,Fetal And Adult Testis Expressed 1,Protein Coding,38,GC0XP151716,1.83,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FATE1
LOC108021845,TES Enhancer Upstream Of SOX9,Uncategorized,3,GC17U902707,1.83,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108021845
PPIG,Peptidylprolyl Isomerase G,Protein Coding,47,GC02P169584,1.82,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIG
TFAP2A,Transcription Factor AP-2 Alpha,Protein Coding,53,GC06M010393,1.79,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAP2A
TF,Transferrin,Protein Coding,57,GC03P133663,1.79,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TF
APOA1,Apolipoprotein A1,Protein Coding,56,GC11M116835,1.79,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1
AKR1C4,Aldo-Keto Reductase Family 1 Member C4,Protein Coding,53,GC10P005195,1.79,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1C4
HCRTR1,Hypocretin Receptor 1,Protein Coding,49,GC01P031587,1.79,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCRTR1
HCRT,Hypocretin Neuropeptide Precursor,Protein Coding,47,GC17M042185,1.79,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCRT
AKR1C2,Aldo-Keto Reductase Family 1 Member C2,Protein Coding,53,GC10M004987,1.75,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1C2
AKR1C1,Aldo-Keto Reductase Family 1 Member C1,Protein Coding,49,GC10P004963,1.75,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1C1
LOC108178989,SRY Promoter Region,Uncategorized,3,GC0YU900779,1.75,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108178989
NR0B2,Nuclear Receptor Subfamily 0 Group B Member 2,Protein Coding,49,GC01M026922,1.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR0B2
NPC1,NPC Intracellular Cholesterol Transporter 1,Protein Coding,53,GC18M023506,1.71,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC1
ERBB2,Erb-B2 Receptor Tyrosine Kinase 2,Protein Coding,62,GC17P039687,1.7,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2
DDX41,DEAD-Box Helicase 41,Protein Coding,49,GC05M177511,1.7,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX41
